sample, xsec [pb], xsec_err [pb]
Signal_1-0_0-8_0-4.0, 0.20992594267114414, 0.00025012168219309635
Signal_1-0_0-8_0-9.0, 0.8749453529754707, 0.001039005108749597
Signal_1-0_0-8_0-6.0, 0.4400668495545039, 0.0005257752525519308
Signal_1-0_0-9_0-2.0, 0.05621558573999796, 6.667283559774547e-05
Signal_1-0_0-9_0-3.0, 0.12488948781201081, 0.00014812668815531845
Signal_1-0_0-8_1-0.0, 1.0234375758987915, 0.0012168344052929624
Signal_1-0_0-9_0-6.0, 0.46240535597980337, 0.0005486076012332614
Signal_1-5_0-08_0-7.0, 0.004696214403345442, 5.777413153515275e-06
Signal_1-0_0-9_1-0.0, 1.0927924515066163, 0.001301609330163454
Signal_1-0_0-9_0-15.0, 0.03176655518914672, 3.770893768124589e-05
Signal_1-5_0-08_0-8.0, 0.00481338303094525, 5.903468619004263e-06
Signal_1-0_0-9_0-8.0, 0.7649510278095853, 0.000908671471756932
Signal_1-5_0-08_0-9.0, 0.004876479797311873, 5.98379844009851e-06
Signal_1-5_0-08_0-2.0, 0.003093705058970175, 3.7573811408861726e-06
Signal_1-0_0-9_0-4.0, 0.21702016738992325, 0.00025773368431995536
Signal_1-0_0-9_0-5.0, 0.33170907048629034, 0.00039350352188972416
Signal_1-5_0-15_0-1.0, 0.0017722441534020663, 2.1539340616959405e-06
Signal_1-0_0-9_0-7.0, 0.6077850275681694, 0.0007217199499986162
Signal_1-0_1-0_0-6.0, 0.4758597239909094, 0.0005650864434611565
Signal_1-5_0-08_0-4.0, 0.004300407370620457, 5.245803964127479e-06
Signal_1-5_0-08_0-3.0, 0.0039152300485835985, 4.76129203608752e-06
Signal_1-5_0-08_0-6.0, 0.004618459312308011, 5.670118447200931e-06
Signal_1-5_0-15_0-08.0, 0.0011790709968831606, 1.4320147355837586e-06
Signal_1-5_0-08_0-15.0, 0.002400843782341069, 2.9091586407439744e-06
Signal_1-0_1-0_0-9.0, 0.9696820081259069, 0.0011544930482358495
Signal_1-0_1-0_0-15.0, 0.032161608479334886, 3.8147805908126846e-05
Signal_1-5_0-15_0-3.0, 0.008671101162126235, 1.0643181808732882e-05
Signal_1-0_0-9_0-1.0, 0.014195983376113596, 1.6833899782405413e-05
Signal_1-0_1-0_0-4.0, 0.22146187527883285, 0.0002627946794920083
Signal_1-5_0-15_0-15.0, 0.0035241830074205023, 4.293077573952289e-06
Signal_1-5_0-15_0-4.0, 0.011112130562873409, 1.3625351447923619e-05
Signal_1-0_0-9_0-08.0, 0.009117813995358784, 1.0799267660899698e-05
Signal_1-0_1-0_0-7.0, 0.6298475294335039, 0.0007477859089241873
Signal_1-0_1-0_0-2.0, 0.0568785635512168, 6.75344826278549e-05
Signal_1-5_0-15_0-2.0, 0.005427732989102204, 6.604919588365809e-06
Signal_1-5_0-15_0-6.0, 0.013853118253095957, 1.703776484357253e-05
Signal_1-5_0-15_0-5.0, 0.012728196710223691, 1.5643433206234403e-05
Signal_1-0_1-0_0-8.0, 0.7925580281046792, 0.0009434883793077214
Signal_1-5_0-15_0-8.0, 0.015514980209355602, 1.900027272564991e-05
Signal_1-5_0-15_0-7.0, 0.014643947170076927, 1.8060293503501417e-05
Signal_1-0_0-4_0-5.0, 0.24167058174395445, 0.00032849080557544296
Signal_1-0_0-5_0-4.0, 0.1830535983645816, 0.00021755433200720088
Signal_1-0_0-5_0-6.0, 0.3514350181651496, 0.0004188830160254205
Signal_1-0_0-5_0-7.0, 0.4402508501323155, 0.0005240633603858107
Signal_1-0_0-6_0-1.0, 0.013237022216958301, 1.5583286324844944e-05
Signal_1-0_0-6_0-15.0, 0.02964916537164094, 3.526998738552752e-05
Signal_1-0_0-6_0-08.0, 0.008489871271303028, 1.012196844002671e-05
Signal_1-0_0-5_0-9.0, 0.6000758986307116, 0.000716571310037474
Signal_1-0_0-5_0-8.0, 0.5210380532560905, 0.0006219228654386291
Signal_1-0_0-7_0-08.0, 0.008650436270534755, 1.0303665067961174e-05
Signal_1-0_0-6_1-0.0, 0.8227253651271109, 0.0009742283784862382
Signal_1-0_0-7_0-15.0, 0.030312056656060196, 3.60428431581272e-05
Signal_1-0_0-6_0-2.0, 0.052116661947051994, 6.121321958274551e-05
Signal_1-0_0-6_0-8.0, 0.6051006504354198, 0.0007195554975781892
