model,bdt_cut,mx1,b0_ref,sigmab0_ref
v2_2500_4,0.157000,2.000000,0.231363,0.015065
v2_2500_4,0.158000,2.000000,0.216001,0.014895
v2_2500_4,0.159000,2.000000,0.199144,0.014713
v2_2500_4,0.160000,2.000000,0.185577,0.014566
v2_2500_4,0.161000,2.000000,0.169427,0.014367
v2_2500_4,0.162000,2.000000,0.158658,0.014255
v2_2500_4,0.163000,2.000000,0.145335,0.014094
v2_2500_4,0.164000,2.000000,0.134266,0.013953
v2_2500_4,0.165000,2.000000,0.123749,0.013827
v2_2500_4,0.166000,2.000000,0.113705,0.013708
v2_2500_4,0.167000,2.000000,0.105588,0.013619
v2_2500_4,0.168000,2.000000,0.097828,0.013518
v2_2500_4,0.169000,2.000000,0.077053,0.005119
v2_2500_4,0.170000,2.000000,0.069014,0.004812
v2_2500_4,0.171000,2.000000,0.060483,0.004514
v2_2500_4,0.172000,2.000000,0.053600,0.004270
v2_2500_4,0.173000,2.000000,0.047628,0.004022
v2_2500_4,0.174000,2.000000,0.043412,0.003872
v2_2500_4,0.175000,2.000000,0.038037,0.003644
v2_2500_4,0.176000,2.000000,0.036791,0.003602
v2_2500_4,0.177000,2.000000,0.033209,0.003409
v2_2500_4,0.178000,2.000000,0.029619,0.003219
v2_2500_4,0.179000,2.000000,0.025616,0.003015
v2_2500_4,0.180000,2.000000,0.023442,0.002897
v2_2500_4,0.190000,2.000000,0.006543,0.001609
v2_2500_4,0.200000,2.000000,0.000900,0.000528
v2_2500_4,0.210000,2.000000,0.000001,0.000000
v2_2500_4,0.220000,2.000000,0.000000,0.000000
v2_2500_4,0.230000,2.000000,0.000000,0.000000
v2_2500_4,0.240000,2.000000,0.000000,0.000000
v2_2500_4,0.250000,2.000000,0.000000,0.000000
v2_2500_4,0.260000,2.000000,0.000000,0.000000
v2_2500_4,0.270000,2.000000,0.000000,0.000000
v2_2500_4,0.280000,2.000000,0.000000,0.000000
v2_2500_4,0.290000,2.000000,0.000000,0.000000
v2_2500_4,0.300000,2.000000,0.000000,0.000000
v2_2500_4,-1.000000,2.500000,2808.226872,103.057202
v2_2500_4,-0.300000,2.500000,2808.226872,103.057202
v2_2500_4,-0.290000,2.500000,2808.226872,103.057202
v2_2500_4,-0.280000,2.500000,2808.226872,103.057202
v2_2500_4,-0.270000,2.500000,2808.226872,103.057202
v2_2500_4,-0.260000,2.500000,2808.151220,103.057198
v2_2500_4,-0.250000,2.500000,2805.717912,103.036711
v2_2500_4,-0.240000,2.500000,2803.745899,103.036604
v2_2500_4,-0.230000,2.500000,2791.474467,102.974868
v2_2500_4,-0.220000,2.500000,2771.874793,102.933127
v2_2500_4,-0.210000,2.500000,2738.598855,102.890711
v2_2500_4,-0.200000,2.500000,2681.252669,102.786009
v2_2500_4,-0.190000,2.500000,2596.382962,102.639188
v2_2500_4,-0.180000,2.500000,2489.421852,102.532376
v2_2500_4,-0.170000,2.500000,2350.365109,102.383370
v2_2500_4,-0.160000,2.500000,2090.778006,11.547716
v2_2500_4,-0.150000,2.500000,1900.114262,10.126808
v2_2500_4,-0.140000,2.500000,1696.608273,9.183828
v2_2500_4,-0.130000,2.500000,1483.650280,7.598855
v2_2500_4,-0.120000,2.500000,1275.846444,5.953330
v2_2500_4,-0.110000,2.500000,1081.118135,5.089390
v2_2500_4,-0.100000,2.500000,899.417299,3.504540
v2_2500_4,-0.090000,2.500000,738.759495,2.690688
v2_2500_4,-0.080000,2.500000,600.818773,2.561863
v2_2500_4,-0.070000,2.500000,478.464311,1.332865
v2_2500_4,-0.060000,2.500000,376.419525,1.151517
v2_2500_4,-0.050000,2.500000,291.185977,0.984722
v2_2500_4,-0.040000,2.500000,221.486461,0.832096
v2_2500_4,-0.030000,2.500000,164.881703,0.691817
v2_2500_4,-0.020000,2.500000,121.987014,0.577451
v2_2500_4,-0.010000,2.500000,89.006124,0.478328
v2_2500_4,0.000000,2.500000,64.075483,0.391044
v2_2500_4,0.010000,2.500000,45.346620,0.316357
v2_2500_4,0.020000,2.500000,31.841706,0.257373
v2_2500_4,0.030000,2.500000,22.342904,0.207326
v2_2500_4,0.040000,2.500000,15.669559,0.171215
v2_2500_4,0.050000,2.500000,10.954400,0.140265
v2_2500_4,0.060000,2.500000,7.631137,0.114470
v2_2500_4,0.070000,2.500000,5.203343,0.090988
v2_2500_4,0.080000,2.500000,3.545718,0.072672
v2_2500_4,0.090000,2.500000,2.359183,0.059233
v2_2500_4,0.100000,2.500000,1.552405,0.044424
